代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
1560,中砂,2020/06,M,-,4,4 4,,+,,,,537,,52,69,74,4
1563,巧新,2020/06,M,↓,5,7 7, P,+,,,,275,,65,25,43,-40
1565,精華,2020/06,M,-,3,3 2,A,,,,,699,,53,86,96,47
1568,倉佑,2020/06,M,-,7,8 8,AP,+,,,,230,,16,-3,73,-23
1569,濱川,2020/06,M,-,7,5 5, P,,,,,454,,45,60,64,-5
1570,力肯,2020/06,M,-,6,6 5,A,,,,,476,,4,55,100,4
1580,新麥,2020/06,M,-,4,4 4,A,+,,,,547,,25,53,98,45
1582,信錦,2020/06,M,-,4,3 2,,+,,,,701,,69,85,100,9
1583,程泰,2020/06,M,-,5,6 6,AP,+,,,,345,,62,10,77,-40
1584,精剛,2020/06,M,-,8,9 9,AP,+,,,,106,,8,-2,43,-37
1585,鎧鉅,2020/06,M,-,9,9 9, P,,,,,-715,,1,-60,-109,-40
1586,和勤,2020/06,M,-,8,7 7, P,+,,,,325,,19,39,53,11
1587,吉茂,2020/06,M,-,7,8 8, P,,,,,209,,12,3,70,-40
1589,永冠-KY,2020/06,M,-,6,5 5,AP +,,,,,430,,71,2,90,12
1590,亞德客-KY,2020/06,M,-,4,2 2,A,+,,,+,679,,123,91,62,-26
1591,駿吉-KY,2020/06,M,-,6,7 7,AP,,,,,272,,3,2,68,49
1592,英瑞-KY,2020/06,M,↓,9,9 9,AP,,,,,48,,45,-26,38,-40
1593,祺驊,2020/06,M,-,5,5 4,A,,,,,539,,5,64,100,36
1594,日高,2020/06,M,-,7,5 4,A,+,,,,557,,5,65,95,67
1595,川寶,2020/06,M,-,6,7 7,AP,,,,,325,,19,11,96,-40
1597,直得,2020/06,M,-,4,5 5,,,,,,467,,16,70,88,-40
1598,岱宇,2020/06,M,-,6,5 5,,+,,,,470,,61,52,60,13
1599,宏佳騰,2020/06,M,-,5,5 5,A,,,,,454,,15,28,95,57
1602,太電,2020/06,M,-,8,5 5,AP,,,,,497,,128,1,68,54
1603,華電,2020/06,M,-,7,6 6,AP,,,,,398,,39,22,98,-40
1604,聲寶,2020/06,M,-,4,4 4,,+,,,,563,,68,44,78,61
1605,華新,2020/06,M,-,4,2 2,A,+,,,,691,,140,37,79,62
1606,歌林,2020/06,F,-,D,D D, P,,,,,-888,,,-60,-888,
1608,華榮,2020/06,M,-,5,6 6,AP,+,,,,384,,68,,79,16
1609,大亞,2020/06,M,-,5,5 5, P,,,,,422,,108,1,53,61
1611,中電,2020/06,M, ↑,6,5 5, P,+,,,,436,,33,15,100,25
1612,宏泰,2020/06,M,-,5,5 5,,+,,,,476,,38,29,100,13
1613,台一,2020/06,M,-,D,9 9, P,+,,,,31,,31,,-26,54
1614,三洋電,2020/06,M,-,4,4 4,AP,,,,,530,,47,34,93,56
1615,大山,2020/06,M,-,6,5 5,A,+,,,,498,,21,57,82,39
1616,億泰,2020/06,M,-,7,7 7,AP,+,,,,303,,21,,75,34
1617,榮星,2020/06,M,-,6,4 4,,+,,,,515,,19,41,95,67
1618,合機,2020/06,M,-,6,6 6,A,,,,,352,,27,2,100,-11
1626,艾美特-KY,2020/06,M,-,6,5 4,AP +,+,,,,507,,70,44,76,7
1701,中化,2020/06,M,-,6,4 4,,,,,,508,,70,49,85,-31
1702,南僑,2020/06,M,-,5,6 6,,,,,,406,,112,41,-3,69
1707,葡萄王,2020/06,M,-,4,3 2,A,,,,,707,,72,105,79,10
1708,東鹼,2020/06,M,-,5,6 6, P,+,,,,379,,57,15,49,79
1709,和益,2020/06,M,-,5,4 4,,+,,,,510,,69,34,79,34
1710,東聯,2020/06,M,-,4,6 6, P,,,,,417,,125,-5,50,96
1711,永光,2020/06,M,-,5,6 6,AP,,,,,379,,73,12,79,-40
1712,興農,2020/06,M,-,5,3 3,,+,,,,603,,97,34,80,68
1713,國化,2020/06,F,-,5,6 6,A,,,,,359,,6,12,100,12
1714,和桐,2020/06,M,-,5,1 1,,+,,,,994,,131,120,100,73
1716,永信藥品,2020/06,M,-,4,4 4,A,,,,,557,,52,87,78,-40
1717,長興,2020/06,M,-,3,3 3,A,+,,,,608,,140,38,72,-5
1718,中纖,2020/06,M,-,7,4 4,AP,+,,,,569,,140,30,55,35
1720,生達,2020/06,M,-,5,3 3,,,,,,622,,42,79,100,2
1721,三晃,2020/06,M,-,7,6 6, P +,+,,,,352,,29,-18,99,43
1722,台肥,2020/06,M,-,3,3 3, P,+,,,,658,,109,30,99,53
1723,中碳,2020/06,M,-,3,3 3,A,+,,,,647,,64,67,80,79
1724,台硝,2020/06,F,-,6,6 6,,+,,,,399,,14,11,92,63
1725,元禎,2020/06,M,-,5,5 5,,+,,,,497,,48,3,100,91
1726,永記,2020/06,M,-,3,3 3,,+,,,,613,,65,59,100,6
1727,中華化,2020/06,M,-,6,6 6, P,,,,,371,,14,8,86,41
1730,花仙子,2020/06,M,-,5,4 3,A,+,,,,596,,20,78,96,36
1731,美吾華,2020/06,M,-,6,5 5,A,,,,,475,,10,65,100,-40
1732,毛寶,2020/06,M,-,6,5 4,,,,,,517,,4,58,100,36
1733,五鼎,2020/06,M,-,5,6 6,,,,,,415,,16,24,94,28
1734,杏輝,2020/06,M,-,6,7 7,AP +,,,,,275,,32,-1,81,-34
1735,日勝化,2020/06,M,-,6,7 7,AP,+,,,,291,,19,,75,27
1736,喬山,2020/06,M,-,5,7 7,AP,,,,,295,,129,-6,52,-40
1737,臺鹽,2020/06,M,-,4,4 4, P,+,,,,577,,40,44,100,67
1742,台蠟,2020/06,M,-,7,6 6,AP,+,,,,363,,8,9,94,38
1752,南光,2020/06,M,-,5,5 5,A,,,,,452,,18,68,85,-40
1760,寶齡富錦,2020/06,M,-,6,6 6,AP,+,,,,337,,10,16,100,-40
1762,中化生,2020/06,M,-,7,5 5,A,+,,,,424,,13,46,100,-40
1773,勝一,2020/06,M,-,4,3 1,,,,,,761,,57,104,88,71
1776,展宇,2020/06,M,-,6,6 6, P,+,,,,355,,10,5,92,47
1777,生泰,2020/06,F,-,5,5 3,,+,,,,614,,9,100,97,5
1780,立弘,2020/06,M,-,6,6 6,A,,,,,387,,7,57,80,-40
1781,合世,2020/06,M,-,7,6 6,AP +,+,,,,348,,3,24,75,47
1783,和康生,2020/06,M, ↑,7,6 5,A,+,,,,453,,3,54,100,-16
1784,訊聯,2020/06,M,-,6,6 6,,,,,,367,,7,1,100,42
1785,光洋科,2020/06,M, ↑,8,4 4, P,+,,,,539,,118,24,65,36
1786,科妍,2020/06,M,-,6,6 4,,+,,,,574,,5,70,100,55
1788,杏昌,2020/06,M,-,5,4 4,,+,,,,569,,26,68,100,13
1789,神隆,2020/06,M,-,4,5 5,AP,+,,,,501,,43,52,100,-40
1795,美時,2020/06,M,-,6,4 4,AP,+,,,,590,,83,69,67,18
1796,金穎生技,2020/06,M,-,7,7 7, P,,,,,260,,3,-2,78,6
1799,易威,2020/06,M,-,8,7 7,AP +,+,,,,295,,4,-47,100,96
1802,台玻,2020/06,M,-,6,6 6,AP +,,,,,405,,140,-6,64,18
1805,寶徠,2020/06,M,-,8,9 9, P,+,,,,76,,2,-15,37,-1
1806,冠軍,2020/06,M,-,6,8 8,AP +,,,,,248,,50,-28,84,4
1808,潤隆,2020/06,M,-,7,9 9,APL,,,,+,-744,,60,-4,-234,-40
1809,中釉,2020/06,M,-,6,7 7,AP,+,,,,298,,22,-11,100,-27
1810,和成,2020/06,M,-,7,7 7,AP,+,,,,295,,58,2,72,-40
1813,寶利徠,2020/06,M,-,6,8 8,AP,,,,,198,,4,-8,82,-40
1815,富喬,2020/06,M,↓,7,8 8,AP,+,,,,224,,53,-13,60,-6
1817,凱撒衛,2020/06,M,-,6,5 5,A,+,,,,468,,16,57,82,20
1819,豐鼎,2020/06,M,-,8,9 9, P +,,,,,98,,2,-11,52,-40
1903,士紙,2020/06,M,-,7,9 9,AP,+,,,,-64,,2,-13,5,-40
1904,正隆,2020/06,M,-,5,2 2,,,,,,741,,140,64,74,49
1905,華紙,2020/06,M,-,5,5 5,AP,+,,,,426,,121,-3,69,2
1906,寶隆,2020/06,F,-,6,6 6, P,+,,,,356,,18,13,61,99
1907,永豐餘,2020/06,M,-,5,3 3,,+,,,,640,,140,38,64,53
1909,榮成,2020/06,M,-,6,6 6,AP +,,,,,354,,140,13,-2,67
2002,中鋼,2020/06,M,-,3,5 5, P,+,,,,422,,140,-3,58,46
2006,東和鋼鐵,2020/06,M,-,4,3 3,A,,,,,610,,140,49,62,-5
2007,燁興,2020/06,M,-,8,9 9, P +,+,,,,104,,71,-13,-7,72
2008,高興昌,2020/06,F,-,9,9 9, P,,,,,97,,10,-13,39,-2
2009,第一銅,2020/06,F,↓,8,8 8,AP,+,,,,207,,27,-11,71,-27
2010,春源,2020/06,M,-,4,5 5, P,+,,,,478,,102,6,84,6
2012,春雨,2020/06,M,-,6,6 6,AP,+,,,,348,,68,25,54,-25
2013,中鋼構,2020/06,M,-,6,7 7,AP,+,,,,283,,89,2,51,-40
2014,中鴻,2020/06,M,-,5,5 5, P,+,,,,421,,140,-8,51,82
2015,豐興,2020/06,M,-,3,1 1,,+,,,,820,,124,68,96,78
2017,官田鋼,2020/06,M,-,6,7 7, P,,,,,263,,43,-9,61,33
2020,美亞,2020/06,M,-,7,6 6, P,,,,,366,,42,20,66,25
2022,聚亨,2020/06,M,-,7,6 6,AP,+,,,,392,,65,-7,77,71
2023,燁輝,2020/06,M,-,7,8 8, P +,,,,,224,,140,-5,-10,80
2024,志聯,2020/06,F,-,7,8 8,AP,+,,,,220,,9,4,69,-22
2025,千興,2020/06,F,-,D,9 9, P,+,,,,-151,,7,-60,10,50
2027,大成鋼,2020/06,M,↓,7,8 8,AP,,,,,190,,140,-4,14,-40
2028,威致,2020/06,F,-,D,5 5, P,+,,,,474,,54,38,59,74
2029,盛餘,2020/06,M,-,4,4 4, P,+,,,,519,,68,1,100,85
2030,彰源,2020/06,M,-,7,8 8,AP,,,,,174,,75,-2,17,21
2031,新光鋼,2020/06,M,-,6,8 8, P,,,,,237,,79,,38,-23
2032,新鋼,2020/06,F,-,6,6 6, P,+,,,,419,,18,6,100,67
2033,佳大,2020/06,F,-,7,6 6, P,,,,,354,,5,7,99,16
2034,允強,2020/06,M,-,4,4 4,,+,,,,581,,85,33,80,71
2035,唐榮,2020/06,F,-,8,9 9, P,+,,,,-63,,87,-33,-16,66
2038,海光,2020/06,M,-,7,6 6, P,+,,,,372,,58,12,52,64
2049,上銀,2020/06,M,-,5,5 5,AP,+,,,,468,,126,23,62,-40
2056,璋釔,2020/06,M,-,6,7 7,AP +,+,,,,326,,27,-6,79,46
2059,川湖,2020/06,M,-,3,3 2,A,,,,+,707,,60,82,100,40
2061,風青,2020/06,M,-,8,6 6,AP,,,,,350,,4,-6,100,34
2062,橋椿,2020/06,M,-,6,7 7, P,,,,,257,,61,-7,52,22
2063,世鎧,2020/06,M,-,5,6 6,A,,,,,392,,7,69,70,-40
2064,晉椿,2020/06,M,↓,8,9 9, P,+,,,,133,,15,-19,39,48
2065,世豐,2020/06,M,-,5,5 5,,+,,,,505,,12,57,86,51
2066,世德,2020/06,M,↓,6,8 8,AP,,,,,191,,16,9,57,-40
2067,嘉鋼,2020/06,M,↓,8,9 9,AP,+,,,,107,,6,-15,33,37
2069,運錩,2020/06,M,-,7,8 8, P,,,,,242,,58,-6,35,68
2070,精湛,2020/06,M,-,6,8 8, P,,,,,199,,6,-14,84,-40
2071,震南鐵,2020/06,M,-,8,9 9,AP,+,,,,-15,,13,-5,-13,25
2101,南港,2020/06,M,-,6,6 6,AP,+,,,,335,,97,14,51,-40
2102,泰豐,2020/06,M,-,6,6 6, P +,+,,,,414,,60,1,86,37
2103,台橡,2020/06,M,-,4,4 4, P,+,,,,580,,131,9,81,64
2104,國際中橡,2020/06,M,-,4,4 4,AP,+,,,,562,,125,12,88,58
2105,正新,2020/06,M,-,3,4 4,AP,+,,,,572,,140,9,73,68
2106,建大,2020/06,M,-,4,4 4,AP,+,,,,534,,140,,78,42
2107,厚生,2020/06,M,-,5,4 4,,,,,,554,,40,71,100,-40
2108,南帝,2020/06,M,-,4,3 1,,,,,,841,,77,100,100,86
2109,華豐,2020/06,M,-,6,4 4,AP,+,,,,543,,47,43,88,56
2114,鑫永銓,2020/06,F,-,5,4 3,,,,,,672,,14,97,100,54
2115,六暉-KY,2020/06,M,-,5,4 2,A,+,,,,680,,22,103,100,29
2201,裕隆,2020/06,M,-,4,9 9,A,+,,,,6,,140,15,-93,-40
2204,中華,2020/06,M,-,4,1 1,,+,,,,780,,140,39,100,82
2206,三陽工業,2020/06,M,-,6,3 3,A,+,,,,601,,140,34,49,72
2207,和泰車,2020/06,M,-,4,4 4,,,,,+,519,,140,68,25,-40
2208,台船,2020/06,M,-,7,9 9, PL+,+,,,+,-115,,130,-21,-38,-40
2211,長榮鋼,2020/06,M,-,5,3 3,A,+,,,+,598,,83,64,93,-40
2221,大甲,2020/06,M,-,6,6 6,,,,,,418,,8,45,93,-13
2227,裕日車,2020/06,M,-,3,1 1,,+,,,,839,,139,54,100,100
2228,劍麟,2020/06,M,-,4,6 6,AP,,,,,420,,33,,100,52
2230,泰茂,2020/06,M,-,7,8 8,AP,,,,,226,,4,-5,78,-19
2231,為升,2020/06,M,-,3,7 7,A,,,,,323,,40,23,72,-40
2233,宇隆,2020/06,M,-,5,4 4,,+,,,,542,,22,64,100,7
2235,謚源,2020/06,F,-,6,6 6,A,,,,,376,,6,35,92,-16
2236,百達-KY,2020/06,M,↓,7,7 7,AP,,,,,324,,11,,100,-4
2237,華德動能,2020/06,F,-,9,9 9,AP,+,,,,-64,,1,-60,54,-40
2239,英利-KY,2020/06,M,-,4,5 5,AP,,,,,475,,121,6,67,32
2241,艾姆勒,2020/06,M,-,7,6 6, P,,,,,358,,8,42,86,-40
2243,宏旭-KY,2020/06,M,-,9,9 9,AP +,,,,,105,,15,-13,51,-40
2245,詠勝昌,2020/06,M,-,6,7 7, P,,,,,290,,2,19,75,6
2246,凱勝綠能,2020/06,F,-,7,7 7, P,,,,,257,,4,-5,93,-40
2247,汎德永業,2020/06,M,-,4,2 2,,,,,,719,,128,34,91,87
2248,華勝-KY,2020/06,M,↓,6,8 8,AP,,,,,241,,4,-16,100,-40
2249,湧盛,2020/06,M,-,5,4 3,A,,,,,630,,8,81,100,71
2301,光寶科,2020/06,M,-,3,2 2,,,,,+,737,,140,47,87,54
2302,麗正,2020/06,M,-,8,7 7, P,+,,,,295,,5,-4,93,9
2303,聯電,2020/06,M,-,3,5 1,AP +,+,,,,786,,140,47,100,65
2305,全友,2020/06,M,-,8,7 7, P,+,,,,328,,6,-8,100,34
2308,台達電,2020/06,M,-,1,1 1,A,+,,,,774,,140,57,94,42
2311,日月光,2020/06,M,-,3,2 2,A,+,,,,697,,140,60,59,59
2312,金寶,2020/06,M,↓,6,7 7,AP +,+,,,,320,,140,-4,25,53
2313,華通,2020/06,M,-,4,1 1,A,,,,,780,,140,62,87,53
2314,台揚,2020/06,M,-,6,6 6,AP,+,,,,406,,37,-1,100,34
2316,楠梓電,2020/06,M,-,5,5 5, P,,,,,471,,60,14,93,31
2317,鴻海,2020/06,M,-,2,3 3, P,+,,,,649,,140,10,87,77
2321,東訊,2020/06,M,-,9,9 9, P,+,,,,103,,10,-12,19,69
2323,中環,2020/06,M,-,7,6 6, P,,,,,394,,91,-8,100,-36
2324,仁寶,2020/06,M,-,3,3 3,AP,+,,,+,598,,140,9,77,59
2325,矽品,2020/06,M,-,3,1 1,A,,,,,801,,140,68,83,69
2327,國巨,2020/06,M,-,3,2 2,A,+,,,+,681,,140,93,54,-40
2328,廣宇,2020/06,M,-,4,3 3, P,,,,,602,,115,4,100,61
2329,華泰,2020/06,M,-,6,6 6, P,+,,,,391,,94,-11,66,78
2330,台積電,2020/06,M,-,1,1 1,A,+,,,,"1,007",,140,120,97,76
2331,精英,2020/06,M,-,4,5 3, P +,,,,,608,,123,,100,76
2332,友訊,2020/06,M,↓,7,5 5, P,+,,,,497,,92,-4,100,53
2337,旺宏,2020/06,M,-,5,1 1,,,,,,769,,140,76,86,5
2338,光罩,2020/06,M,-,6,5 5,,+,,+,,458,,41,19,82,73
2340,光磊,2020/06,M,-,5,4 4,AP,+,,,,523,,56,45,100,-23
2342,茂矽,2020/06,M,-,7,5 4,,,,,,574,,13,62,100,64
2344,華邦電,2020/06,M,-,4,3 3, P,+,,,,657,,140,16,96,42
2345,智邦,2020/06,M,-,3,1 1,A,+,,,+,908,,140,97,93,56
2347,聯強,2020/06,M,-,4,2 2,,,,,,676,,140,38,68,78
2348,海悅,2020/06,M,-,6,4 4,A,,,,+,550,,33,120,33,24
2349,錸德,2020/06,M,-,8,6 6,AP,+,,,,376,,79,-10,80,36
2351,順德,2020/06,M,-,5,5 5, P,+,,,,478,,67,27,89,-3
2352,佳世達,2020/06,M,-,5,3 3, P,+,,,,602,,140,20,69,54
2353,宏碁,2020/06,M,-,4,3 3, P,+,,,,656,,140,14,92,57
2354,鴻準,2020/06,M,-,3,2 2,AP,+,,,+,688,,140,13,100,70
2355,敬鵬,2020/06,M,-,5,4 4, P,+,,,,554,,104,,99,61
2356,英業達,2020/06,M,-,4,5 5,AP,+,,,+,500,,140,-1,65,50
2357,華碩,2020/06,M,-,2,3 3,A,+,,,+,672,,140,29,92,28
2358,廷鑫,2020/06,M,-,8,9 9,AP,+,,,,127,,17,6,38,-40
2359,所羅門,2020/06,M,-,5,6 6,A,,,,,405,,37,3,100,23
2360,致茂,2020/06,M,-,3,2 2,A,,,,+,688,,108,82,89,-40
2362,藍天,2020/06,M,-,6,5 5,AP,,,,+,480,,130,22,44,42
2363,矽統,2020/06,M,-,7,8 8,AP,,,,,249,,2,-13,100,-40
2364,倫飛,2020/06,M,-,9,9 9,AP,,,,,-239,,5,-17,-59,23
2365,昆盈,2020/06,M,-,6,5 5,AP,,,,,441,,17,8,100,83
2367,燿華,2020/06,M,↓,5,6 6,AP,+,,,,410,,111,-16,73,68
2368,金像電,2020/06,M, ↑,5,2 2,A,+,,,+,726,,117,89,76,-3
2369,菱生,2020/06,M,-,6,5 5, P +,+,,,,438,,49,-8,100,65
2371,大同,2020/06,M,-,9,9 9,AP,+,,,,127,,140,-2,-12,-23
2373,震旦行,2020/06,M,-,4,3 3,,+,,,,665,,88,52,89,64
2374,佳能,2020/06,M,-,5,6 6,AP +,,,,,401,,49,-17,95,75
2375,凱美,2020/06,M,-,5,4 4,,+,,,,550,,58,47,95,7
2376,技嘉,2020/06,M,-,4,1 1,A,+,,,,803,,140,54,99,63
2377,微星,2020/06,M,-,3,1 1,,+,,,+,835,,140,70,95,61
2379,瑞昱,2020/06,M,-,2,1 1,A,,,,,822,,140,85,81,42
2380,虹光,2020/06,M,-,9,9 9,AP,,,,,16,,11,-60,74,-40
2382,廣達,2020/06,M,-,4,3 3,AP,,,,+,614,,140,34,60,52
2383,台光電,2020/06,M,-,3,2 1,A,+,,,+,873,,128,96,100,29
2384,勝華,2020/06,M,-,D,D D, P,,,,,-888,,,-60,-888,100
2385,群光,2020/06,M,-,4,1 1,,+,,,+,838,,140,82,87,50
2387,精元,2020/06,M,-,5,4 4,A,+,,,+,574,,96,44,84,-1
2388,威盛,2020/06,M,-,8,6 6, P,+,,,,363,,56,-10,78,61
2390,云辰,2020/06,M,-,8,8 8,AP,+,,,,243,,6,-17,100,-40
2392,正崴,2020/06,M,-,5,3 3,AP,,,,,600,,140,3,79,72
2393,億光,2020/06,M,-,4,3 3,,,,,,634,,121,24,94,37
2395,研華,2020/06,M,-,2,1 1,A,+,,,+,924,,140,106,99,30
2397,友通,2020/06,M,-,4,4 4,,+,,,,580,,61,48,98,21
2399,映泰,2020/06,M,-,6,6 6, P,,,,,380,,16,-8,100,65
2401,凌陽,2020/06,M,-,5,5 5,AP,,,,,444,,60,3,100,19
2402,毅嘉,2020/06,M,-,6,5 5,AP,+,,,,441,,51,,100,40
2404,漢唐,2020/06,M,-,3,1 1,A,,,,+,893,,134,106,100,8
2405,浩鑫,2020/06,M,-,6,6 6,AP,+,,,,354,,22,-1,100,7
2406,國碩,2020/06,M,-,9,9 9, P,+,,,,13,,75,-37,24,17
2408,南亞科,2020/06,M,-,5,1 1, P,+,,,,771,,140,61,100,9
2409,友達,2020/06,M,-,6,5 5,AP +,+,,,,496,,140,-15,83,76
2412,中華電,2020/06,M,-,1,1 1,A,+,,,,816,,140,74,82,70
2413,環科,2020/06,M,-,8,8 8, P,,,,,173,,30,-10,40,34
2414,精技,2020/06,M,-,5,3 3,,,,,+,592,,89,33,82,71
2415,錩新,2020/06,M,-,7,6 6,AP,+,,,,375,,24,18,72,54
2417,圓剛,2020/06,M,-,6,4 4,AP,+,,,,546,,32,60,100,3
2419,仲琦,2020/06,M,-,6,5 5,AP,,,,+,501,,69,25,91,17
2420,新巨,2020/06,M,-,5,5 4,A,+,,,,511,,31,76,80,-17
2421,建準,2020/06,M,-,5,3 2,,,,,,709,,75,79,93,43
2423,固緯,2020/06,M,-,5,5 5,A,,,,,436,,18,47,100,-40
2424,隴華,2020/06,M,-,8,9 9,AP,,,,,-124,,,-60,9,79
2425,承啟,2020/06,M,-,5,5 5,AP,,,,,491,,24,25,100,68
2426,鼎元,2020/06,M,-,7,6 6, P,,,,,394,,31,15,100,-12
2427,三商電,2020/06,M,-,7,7 7,A,,,,,301,,28,22,74,-40
2428,興勤,2020/06,M,-,4,3 2,A,+,,,,679,,55,93,100,-12
2429,銘旺科,2020/06,M,-,9,9 9, P,+,,,,20,,5,-37,20,83
2430,燦坤,2020/06,M,-,4,4 4, P,+,,,,558,,97,13,80,85
2431,聯昌,2020/06,M,-,6,6 6,A,+,,,,408,,15,4,100,67
2433,互盛電,2020/06,M,-,5,4 3,,+,,,,617,,46,56,91,85
2434,統懋,2020/06,M,-,9,9 9, P,+,,,,-413,,2,-60,-58,59
2436,偉詮電,2020/06,M,-,5,5 5,,,,,,421,,22,22,100,12
2438,翔耀,2020/06,M,-,8,6 6, P,+,,,,380,,3,2,100,57
2439,美律,2020/06,M,-,3,3 3,AP,+,,,+,673,,134,14,96,75
2440,太空梭,2020/06,M,-,8,6 6, P,,,,,346,,16,-7,89,54
2441,超豐,2020/06,F,-,3,2 1,,,,,,816,,97,90,100,52
2442,新美齊,2020/06,M,-,7,8 8,AP,+,,,+,180,,60,-8,16,70
2443,億麗,2020/06,M,-,8,8 8,AP,,,,,242,,4,-45,96,50
2444,兆勁,2020/06,F,↓,9,9 9,AP,+,,,,113,,11,-35,71,-26
2448,晶電,2020/06,M,-,6,6 6, P +,+,,,,393,,119,-19,100,-40
2449,京元電子,2020/06,M,-,4,1 1,,,,,,829,,140,81,79,69
2450,神腦,2020/06,M,-,4,3 3,,+,,,,644,,103,15,100,93
2451,創見,2020/06,M,-,2,3 2,A,+,,,+,695,,96,56,100,36
2453,凌群,2020/06,M,-,6,6 6,AP,,,,,420,,37,11,85,57
2454,聯發科,2020/06,M,-,2,1 1,A,+,,,+,785,,140,51,100,53
2455,全新,2020/06,F,-,5,4 3,,+,,,,672,,25,100,91,48
2456,奇力新,2020/06,M,-,4,3 3,,+,,,,602,,122,45,87,-38
2457,飛宏,2020/06,M,-,6,6 6,AP,+,,,,415,,66,-11,92,58
2458,義隆,2020/06,M,-,3,3 1,A,,,,+,828,,79,120,100,11
2459,敦吉,2020/06,M,-,4,3 3,A,,,,,618,,56,45,100,72
2460,建通,2020/06,M,-,7,7 7,AP,+,,,,301,,29,8,66,16
2461,光群雷,2020/06,M,-,6,6 6, P,+,,,,402,,47,9,85,28
2462,良得電,2020/06,M,-,6,6 6, P,+,,,,387,,35,7,93,18
2464,盟立,2020/06,M,-,5,5 5,A,,,,+,499,,73,52,79,-40
2465,麗臺,2020/06,M,-,9,9 9, P,,,,,65,,19,,-18,86
2466,冠西電,2020/06,M,-,8,9 9,AP,+,,,,142,,16,-10,58,-40
2467,志聖,2020/06,M,-,5,5 5,A,+,,,,425,,37,43,87,-40
2468,華經,2020/06,M,-,6,6 6,A,,,,,418,,13,11,99,63
2471,資通,2020/06,M,-,6,6 6,,,,,,381,,5,2,100,65
2472,立隆電,2020/06,M,-,5,3 3,,,,,,638,,64,80,86,11
2474,可成,2020/06,M,-,2,1 1,,+,,,,841,,140,66,99,68
2476,鉅祥,2020/06,M,-,4,4 4,,+,,,,553,,48,37,100,48
2477,美隆電,2020/06,M,-,6,5 5,A,,,,,496,,37,20,100,63
2478,大毅,2020/06,M,-,5,3 3,A,,,,,608,,50,87,95,-40
2480,敦陽科,2020/06,M,-,4,4 4,,,,,,589,,42,73,99,-10
2481,強茂,2020/06,M, ↑,5,4 4,,,,,,561,,80,54,78,7
2482,連宇,2020/06,M,-,7,7 7,AP,,,,,296,,6,4,99,-24
2483,百容,2020/06,M,-,6,6 6,,,,,,385,,18,10,94,37
2484,希華,2020/06,M,-,6,5 5,,,,,,464,,22,39,100,4
2485,兆赫,2020/06,M,-,5,6 6,AP,,,,,409,,59,-2,100,-1
2486,一詮,2020/06,M,-,7,6 6, P +,+,,,,364,,36,2,95,-5
2488,漢平,2020/06,M,-,5,6 5,A,,,,,493,,17,30,100,69
2489,瑞軒,2020/06,M,-,5,5 5, P,+,,,,505,,94,-7,100,68
2491,吉祥全,2020/06,M,-,9,7 7,AP,,,,,252,,3,-7,100,-40
2492,華新科,2020/06,M,-,3,1 1,A,+,,,,817,,140,85,92,8
2493,揚博,2020/06,M,-,6,4 4,,+,,,,525,,22,74,100,-40
2495,普安,2020/06,M,-,5,7 7,AP,,,,,287,,17,-4,100,-40
2496,卓越,2020/06,M,-,6,5 5,,+,,,,473,,6,30,93,92
2497,怡利電,2020/06,M,-,7,8 8,AP +,+,,,,244,,14,-19,75,35
2498,宏達電,2020/06,M,-,7,6 6,AP,+,,,+,347,,80,-35,100,39
2499,東貝,2020/06,C,↓,D,- -,,+,,,,,,,,,
2501,國建,2020/06,M,-,4,7 7,AP,,,,+,313,,96,,44,7
2504,國產,2020/06,M,-,6,2 2,A,+,,,,707,,123,54,96,9
2505,國揚,2020/06,M,-,7,2 1,,,,,,877,,92,120,85,78
2506,太設,2020/06,M,-,8,9 9,AP,+,,,,-1,,10,-9,16,-40
2509,全坤建,2020/06,M,-,6,7 7,AP,+,,,,268,,13,42,41,-10
2511,太子,2020/06,M,-,5,5 5,AP,+,,,,463,,104,-2,69,69
2514,龍邦,2020/06,M,-,7,4 4,A,+,,,+,570,,87,12,90,90
2515,中工,2020/06,M,-,6,6 6,AP +,+,,,+,397,,113,3,73,-40
2516,新建,2020/06,M,-,8,7 7, P,,,,,308,,50,-21,75,69
2520,冠德,2020/06,M,-,7,5 5,,+,,,,504,,126,65,-1,59
2524,京城,2020/06,M,-,7,6 6,,+,,,,392,,85,70,17,-40
2527,宏璟,2020/06,M,-,7,6 6,AP,,,,,382,,71,27,33,71
2528,皇普,2020/06,F,-,8,9 9,APL,+,,,+,-180,4,,-16,-26,-40
2530,華建,2020/06,M,-,7,9 9,AP,+,,,,-11,,,-8,17,-40
2534,宏盛,2020/06,M,-,6,7 7,AP,+,,,+,304,,57,45,32,-40
2535,達欣工,2020/06,M,-,5,3 3,A,+,,,,611,,92,69,87,-40
2536,宏普,2020/06,M,-,5,5 5,,,,,,448,,56,59,53,-2
2537,聯上發,2020/06,F,-,7,7 7,,,,,,330,,23,70,37,-36
2538,基泰,2020/06,M,-,7,9 9, P +,,,,,-113,,2,-8,-17,-40
2539,櫻花建,2020/06,F,-,6,4 4,A,,,,+,519,,73,60,45,58
2540,愛山林,2020/06,M,-,9,7 7,A L,,,,+,273,,41,74,3,-40
