代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
8426,紅木-KY,2020/06,M,-,6,8 8,AP +,,,,,216,,10,-33,75,54
8427,基勝-KY,2020/06,M,-,7,4 4,,+,,,,560,,34,43,100,65
8429,金麗-KY,2020/06,M,↓,7,6 6,AP,,,,,375,,10,-16,100,85
8431,匯鑽科,2020/06,M,-,7,6 6, P,+,,,,417,,6,34,91,31
8432,東生華,2020/06,F,-,5,6 5,A,+,,,,464,,5,60,100,-24
8433,弘帆,2020/06,M,-,6,4 4,A,,,,,535,,18,53,87,81
8435,鉅邁,2020/06,M,-,5,5 3,A,+,,,,636,,4,88,100,63
8436,大江,2020/06,M,-,3,3 1,,+,,,,844,,69,113,98,74
8437,大地-KY,2020/06,M,↓,6,6 5,AP,,,,,428,,9,59,92,-40
8438,昶昕,2020/06,M,-,8,6 6, P,,,,,396,,18,12,80,86
8440,綠電,2020/06,M,-,6,6 6,AP,,,,,402,,3,2,100,79
8442,威宏-KY,2020/06,M,-,7,6 6,AP,,,,,380,,36,1,79,68
8443,阿瘦,2020/06,M,-,7,8 8, P,+,,,,244,,12,-19,97,-40
8444,綠河-KY,2020/06,M,-,8,9 9, P +,,,,,-92,,39,-8,-64,92
8446,華研,2020/06,M,-,5,5 1,,,,,,765,,13,120,93,99
8454,富邦媒,2020/06,M,-,3,1 1,,+,,,,847,,140,71,85,99
8455,大拓-KY,2020/06,M,-,7,7 7,AP,,,,,327,,11,-1,81,58
8462,柏文,2020/06,M,-,5,4 3,,,,,,609,,40,67,77,99
8463,潤泰材,2020/06,M,-,6,7 7, P,,,,,296,,30,,62,50
8464,億豐,2020/06,M,-,4,2 1,A,,,,,932,,122,120,96,40
8465,德河,2020/06,F,-,8,7 7,AP,,,,,273,,1,-2,63,72
8466,美吉吉-KY,2020/06,M,-,5,4 3,A,+,,,,594,,27,69,97,44
8467,波力-KY,2020/06,M,-,6,6 6,A,,,,,367,,11,33,79,8
8472,夠麻吉,2020/06,M,-,6,6 5,,+,,,,503,,4,35,100,92
8473,山林水,2020/06,M,-,5,5 5,AP,,,,,428,,59,57,60,-40
8476,台境,2020/06,M,-,9,9 9, P,+,,,,85,,5,-18,48,-23
8477,創業家,2020/06,M,-,5,4 4,,+,,,,589,,25,47,100,99
8478,東哥遊艇,2020/06,M,-,6,6 6,A,+,,,+,398,,41,73,46,-40
8480,泰昇-KY,2020/06,M,-,5,4 2,A,,,,,701,,15,106,98,59
8481,政伸,2020/06,M,-,5,5 3,,,,,,647,,9,91,100,57
8482,商億-KY,2020/06,M,-,5,4 3,A,,,,,657,,29,82,100,52
8488,吉源-KY,2020/06,M,-,7,7 7,AP,,,,,293,,30,-10,70,55
8489,三貝德,2020/06,M,-,6,4 4,,,,,,556,,10,50,100,85
8490,利得,2020/06,F,↓,9,9 9, P,+,,,,118,,1,-33,78,-40
8491,真好玩,2020/06,M,-,6,6 5,AP,+,,,,460,,5,19,100,95
8495,經緯航,2020/06,M,-,9,9 9,AP +,,,,,-749,,2,-60,-138,45
8499,鼎炫-KY,2020/06,M,-,5,5 2,A,,,,,688,,18,116,100,4
8905,裕國,2020/06,M, ↑,7,8 8,AP,+,,,,250,,24,16,65,-40
8906,花王,2020/06,F,-,7,9 9, P,,,,,19,,2,-8,-11,77
8908,欣雄,2020/06,M,-,5,3 3,,+,,,,643,,49,56,94,96
8916,光隆,2020/06,M,-,6,4 4,A,,,,+,570,,66,41,92,39
8917,欣泰,2020/06,M,-,4,4 2,,+,,,,703,,26,86,100,94
8921,沈氏,2020/06,F,-,6,6 6,,+,,,,388,,4,3,100,72
8923,時報,2020/06,M,-,6,6 6,,,,,,342,,3,30,96,-40
8924,大田,2020/06,M,-,5,4 2,A,+,,,,698,,25,96,100,61
8926,台汽電,2020/06,M,-,6,4 4,,+,,,,558,,91,41,72,36
8927,北基,2020/06,M,-,8,6 6,AP,+,,,,363,,37,9,57,89
8928,鉅明,2020/06,M,-,6,6 6,A,,,,,388,,14,54,59,22
8929,富堡,2020/06,M,-,5,5 5,A,,,,,448,,8,25,100,57
8930,青鋼,2020/06,M,-,6,6 6,AP,,,,,397,,8,11,100,41
